Country,Year,Month,As On Date,Foreign Exchange Reserve Type,"Rupees (UOM:INR(IndianRupees)), Scaling Factor:10000000","Us Dollars (UOM:USD(USDollars)), Scaling Factor:1000000","Volume (UOM:MT(MetricTonnes)), Scaling Factor:1","Special Drawing Rights (Sdrs) (UOM:Number), Scaling Factor:1000000"
India,"Financial Year (Apr - Mar), 2025","July, 2025",04-Jul-2025,Foreign Currency Assets,5049185.07,59128658,,
India,"Financial Year (Apr - Mar), 2025","July, 2025",04-Jul-2025,Gold,724528.29,8484613,,
India,"Financial Year (Apr - Mar), 2025","July, 2025",04-Jul-2025,Reserve Tranche Position in IMF,40432.026,4735061,,
India,"Financial Year (Apr - Mar), 2025","July, 2025",04-Jul-2025,SDRs,161120.49,1886807,,
India,"Financial Year (Apr - Mar), 2025","July, 2025",04-Jul-2025,Total Reserves,5975265.876,699735841,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",06-Jun-2025,Foreign Currency Assets,5034542.59,58768684,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",06-Jun-2025,Gold,735779.03,8588817,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",06-Jun-2025,Reserve Tranche Position in IMF,37828.209,4409483,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",06-Jun-2025,SDRs,159953.41,1867151,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",06-Jun-2025,Total Reserves,5968103.239,696656003,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",13-Jun-2025,Foreign Currency Assets,5074966.58,58942566,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",13-Jun-2025,Gold,743180.35,8631575,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",13-Jun-2025,Reserve Tranche Position in IMF,38334.15,445239,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",13-Jun-2025,SDRs,161492.63,1875636,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",13-Jun-2025,Total Reserves,6017973.71,69895016,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",20-Jun-2025,Foreign Currency Assets,5100971.13,58906888,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",20-Jun-2025,Gold,742482.05,857431,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",20-Jun-2025,Reserve Tranche Position in IMF,38558.53,44518,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",20-Jun-2025,SDRs,161684.91,1867165,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",20-Jun-2025,Total Reserves,6043696.62,69793543,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",27-Jun-2025,Foreign Currency Assets,5084809.26,59482308,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",27-Jun-2025,Gold,722374.46,8450366,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",27-Jun-2025,Reserve Tranche Position in IMF,39597.947,4628123,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",27-Jun-2025,SDRs,160963.28,1882955,,
India,"Financial Year (Apr - Mar), 2025","June, 2025",27-Jun-2025,Total Reserves,6007744.947,702784413,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",02-May-2025,Foreign Currency Assets,4911665.32,58117689,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",02-May-2025,Gold,691478.03,8181971,879.58,
India,"Financial Year (Apr - Mar), 2025","May, 2025",02-May-2025,Reserve Tranche Position in IMF,37807.44,4508572,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",02-May-2025,SDRs,156841.49,185584,,13705.95
India,"Financial Year (Apr - Mar), 2025","May, 2025",02-May-2025,Total Reserves,5797792.28,686063572,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",09-May-2025,Foreign Currency Assets,4964244.79,58137296,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",09-May-2025,Gold,737220.26,8633739,879.58,
India,"Financial Year (Apr - Mar), 2025","May, 2025",09-May-2025,Reserve Tranche Position in IMF,37462.336,4374203,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",09-May-2025,SDRs,158245.78,1853249,,13705.95
India,"Financial Year (Apr - Mar), 2025","May, 2025",09-May-2025,Total Reserves,5897173.166,690617043,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",16-May-2025,Foreign Currency Assets,4975263.96,58165189,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",16-May-2025,Gold,694700.56,8121657,879.58,
India,"Financial Year (Apr - Mar), 2025","May, 2025",16-May-2025,Reserve Tranche Position in IMF,37403.574,4371287,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",16-May-2025,SDRs,158155.4,1848975,,13707.08
India,"Financial Year (Apr - Mar), 2025","May, 2025",16-May-2025,Total Reserves,5865523.494,685729497,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",23-May-2025,Foreign Currency Assets,4994766.69,58616747,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",23-May-2025,Gold,712209.58,8358228,879.58,
India,"Financial Year (Apr - Mar), 2025","May, 2025",23-May-2025,Reserve Tranche Position in IMF,37708.375,4400963,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",23-May-2025,SDRs,158241.45,1857063,,13707.08
India,"Financial Year (Apr - Mar), 2025","May, 2025",23-May-2025,Total Reserves,5902926.095,692721343,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",30-May-2025,Foreign Currency Assets,4998795.36,58421509,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",30-May-2025,Gold,721350.64,8430509,879.58,
India,"Financial Year (Apr - Mar), 2025","May, 2025",30-May-2025,Reserve Tranche Position in IMF,37570.555,4395358,,
India,"Financial Year (Apr - Mar), 2025","May, 2025",30-May-2025,SDRs,158885.38,1856912,,13707.08
India,"Financial Year (Apr - Mar), 2025","May, 2025",30-May-2025,Total Reserves,5916601.935,691484658,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",04-Apr-2025,Foreign Currency Assets,4893863.54,57408785,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",04-Apr-2025,Gold,676510.1,7935984,879.58,
India,"Financial Year (Apr - Mar), 2025","April, 2025",04-Apr-2025,Reserve Tranche Position in IMF,38002.86,4458959,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",04-Apr-2025,SDRs,156526.13,1836172,,13705.95
India,"Financial Year (Apr - Mar), 2025","April, 2025",04-Apr-2025,Total Reserves,5764902.63,676268369,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",11-Apr-2025,Foreign Currency Assets,4948552.73,57497987,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",11-Apr-2025,Gold,688495.99,799974,879.58,
India,"Financial Year (Apr - Mar), 2025","April, 2025",11-Apr-2025,Reserve Tranche Position in IMF,38785.62,450241,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",11-Apr-2025,SDRs,157976.67,1835555,,13705.95
India,"Financial Year (Apr - Mar), 2025","April, 2025",11-Apr-2025,Total Reserves,5833811.01,67783523,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",18-Apr-2025,Foreign Currency Assets,4938464.93,57849542,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",18-Apr-2025,Gold,721971.53,8457228,879.58,
India,"Financial Year (Apr - Mar), 2025","April, 2025",18-Apr-2025,Reserve Tranche Position in IMF,38591.381,4509904,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",18-Apr-2025,SDRs,158508.99,1856786,,13705.95
India,"Financial Year (Apr - Mar), 2025","April, 2025",18-Apr-2025,Total Reserves,5857536.831,686145464,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",25-Apr-2025,Foreign Currency Assets,4960995.66,5806633,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",25-Apr-2025,Gold,720785.42,8436485,879.58,
India,"Financial Year (Apr - Mar), 2025","April, 2025",25-Apr-2025,Reserve Tranche Position in IMF,38610.32,451167,,
India,"Financial Year (Apr - Mar), 2025","April, 2025",25-Apr-2025,SDRs,158816.83,1858883,,13705.95
India,"Financial Year (Apr - Mar), 2025","April, 2025",25-Apr-2025,Total Reserves,5879208.23,68812865,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",07-Mar-2025,Foreign Currency Assets,4841986.83,55728237,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",07-Mar-2025,Gold,645780.15,7432525,879.01,
India,"Financial Year (Apr - Mar), 2024","March, 2025",07-Mar-2025,Reserve Tranche Position in IMF,36109.617,4147613,,
India,"Financial Year (Apr - Mar), 2024","March, 2025",07-Mar-2025,SDRs,158222.42,1821041,,13705.95
India,"Financial Year (Apr - Mar), 2024","March, 2025",07-Mar-2025,Total Reserves,5682099.017,653965643,,
