Country,Year,Month,Calendar Day,"Repo Under Liquidity Adjustment Facility (UOM:INR(IndianRupees)), Scaling Factor:10000000","Reverse Repo Under Liquidity Adjustment Facility (UOM:INR(IndianRupees)), Scaling Factor:10000000","Variable Rate Repo Under Liquidity Adjustment Facility (UOM:INR(IndianRupees)), Scaling Factor:10000000","Variable Rate Reverse Repo Under Liquidity Adjustment Facility (UOM:INR(IndianRupees)), Scaling Factor:10000000","Marginal Standing Facility (Msf) (UOM:INR(IndianRupees)), Scaling Factor:10000000","Standing Liquidity Facilities (UOM:INR(IndianRupees)), Scaling Factor:10000000","Standing Liquidity Facility (UOM:INR(IndianRupees)), Scaling Factor:10000000","Market Stabilisation Scheme (UOM:INR(IndianRupees)), Scaling Factor:10000000","Sale Under Open Market Operations (Omo) (UOM:INR(IndianRupees)), Scaling Factor:10000000","Purchase Under Open Market Operations (Omo) (UOM:INR(IndianRupees)), Scaling Factor:10000000","Long Term Repo Operations (UOM:INR(IndianRupees)), Scaling Factor:10000000","Targeted Long Term Repo Operations (UOM:INR(IndianRupees)), Scaling Factor:10000000","Special Liquidity Facility For Mutual Funds  (UOM:INR(IndianRupees)), Scaling Factor:10000000","Special Liquidity Scheme For Non Banking Financial Companies (Nbfcs) Or Housing Finance Companies (Hfcs) (UOM:INR(IndianRupees)), Scaling Factor:10000000","Special Long-Term Repo Operations For Small Finance Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Special Reverse Repo (UOM:INR(IndianRupees)), Scaling Factor:10000000","Net Injection (+) / Absorption (-) (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-30,,,,,307,135576,522.28,,,,,,,,,,-134746.72
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-29,,,,,341,153397,0,,,,,,,,,,-153056
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-28,,,,,2144,186351,2241.65,,,,,,,,,,-181965.35
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-27,,,,,318,150906,-871.64,,,,,,,,,,-151459.64
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-26,,,,,1985,141197,0,,,,,,,,,,-139212
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-25,,,,,1092,159522,0,,,,,,,,,,-158430
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-24,,,,,729,153483,0,,,,,,,,,,-152754
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-23,,,,,4934,152089,0,,,,,,,,,,-147155
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-22,,,,,3084,149537,0,,,,,,,,,,-146453
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-21,,,16363,,445,174122,0,,,,,,,,,,-157314
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-20,,,,,1072,166262,0,,,,,,,,,,-165190
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-19,,,,,869,180834,462.19,,,,,,,,,,-179502.81
India,"Financial Year (Apr - Mar), 2025","November, 2025",2025-11-18,,,,,979,183892,-340.98,,,,,,,,,,-183253.98
