Country,Year,Month,Calendar Day,"Actual Cash Balance With Reserve Bank Of India (Rbi) (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cash Balance As Percent Of Average Daily Cash Reserve Requirement (UOM:%(Percentage)), Scaling Factor:1","Average Daily Cash Reserve Requirement (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-10,839690,99.1394119570851,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-09,819400,96.7438389853822,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-08,836157,98.7222823706373,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-07,857508,101.243124091624,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-06,885175,104.509674974232,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-05,914733,107.999489951935,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-04,919590,108.572939824954,846979
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-03,890373.784107126,97.4888848129137,913308
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-02,911496.622827904,99.8016685310874,913308
India,"Calendar Year (Jan - Dec), 2025","October, 2025",2025-10-01,922190.269201472,100.972538201951,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-30,989847.514409528,108.38047125499,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-29,925434.000825782,101.327701150738,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-28,902631.131095381,98.830967329245,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-27,903286.136161335,98.9026852016335,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-26,904307,99.0144617149965,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-25,915762,100.268693584202,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-24,917932,100.506291415382,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-23,959345,105.040687259939,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-22,879516,96.3000433588669,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-21,900452,98.5923697153644,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-20,898661,98.3962693855742,913308
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-19,891811,98.6454393915428,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-18,819471.167352653,90.6437500459211,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-17,822014.967501655,90.92512612608,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-16,822001.292631632,90.9236135145939,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-15,858098.149522125,94.916376901249,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-14,858537.294330342,94.9649518039617,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-13,863337.073389847,95.4958673391,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-12,916200,101.343167521517,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-11,889531,98.393242903932,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-10,896278,99.1395454047698,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-09,906433,100.262815287089,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-08,928862,102.743742927714,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-07,954345,105.562481126743,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-06,956361,105.785475915788,904057
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-05,933924,96.959541532999,963210
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-04,960416,99.7099282607116,963210
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-03,942182,97.8168831303662,963210
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-02,950567,98.6874098067919,963210
India,"Calendar Year (Jan - Dec), 2025","September, 2025",2025-09-01,957245,99.3807165623281,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-31,961409,99.8130210442167,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-30,962392,99.9150756325204,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-29,966823.743972522,100.375177165158,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-28,960750.832414914,99.7446904013573,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-27,992589.588351566,103.050174764752,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-26,983387.052549511,102.094771913654,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-25,962618.801810129,99.9386220876163,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-24,994419.823162536,103.240188864582,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-23,996415.616647787,103.447391186531,963210
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-22,940140.235015524,98.1667724776755,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-21,928785.379710481,96.9811307449518,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-20,933654.959716102,97.4895984550544,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-19,940267.127508287,98.1800222312785,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-18,941544.185398097,98.3133689881139,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-17,955774.988188035,99.7993089868753,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-16,956558.110922895,99.8810804380608,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-15,961581.016091255,100.405557926072,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-14,966157.2465189,100.883394906625,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-13,963629.0466504,100.619407458768,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-12,995289.0218328,103.925252123876,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-11,954809.0469424,99.6984481461673,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-10,999793.3301403,104.395579200969,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-09,1002698.5960337,104.698938811931,957697
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-08,934066,97.6907292400951,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-07,919730,96.1913766307656,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-06,923962,96.6339868597474,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-05,934582,97.7446958937233,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-04,924841,96.7259184266838,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-03,973069,101.769917983237,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-02,970942,101.547462416828,956146
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-01,1008861.0,105.513279352735,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-31,996170,104.18597159848,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-30,972817,101.743562175651,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-29,961562,100.56644069002,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-28,973948,101.861849550173,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-27,964293,100.852066525405,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-26,966219,101.053500197669,956146
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-25,925312.26,96.057696140718,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-24,949868.65,98.6069223326772,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-23,968804.65,100.572689579856,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-22,944918.11,98.0930012623431,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-21,937144.49,97.2860131134199,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-20,959524.77,99.6093349029574,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-19,957237.08,99.3718472564799,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-18,991739.5148248,102.953583437643,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-17,969527.819369585,100.647762597436,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-16,960845.520053568,99.7464434368089,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-15,994173.572895583,103.206265716544,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-14,1004109.76333911,104.237752711454,963288.0
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-13,974439.809129939,101.157681724462,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-12,979108.309398326,101.642323936178,963288
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-11,937276.746565652,98.4205639886731,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-10,931896.417930153,97.8555921373063,952318.0
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-09,920787.001292772,96.6890262803782,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-08,938848.797774983,98.5856402771955,952318.0
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-07,930865.974253765,97.7473883990185,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-06,936049.78514346,98.2917245230543,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-05,936527.68760986,98.3419075991276,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-04,938995.739895878,98.6010702198087,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-03,956688.835153457,100.4589680289,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-02,964750.404024533,101.30548871538,952318
India,"Calendar Year (Jan - Dec), 2025","July, 2025",2025-07-01,1006563.06599981,105.696108442748,952318
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-30,1015732.27680938,106.658939220867,952318
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-29,978932.47029262,102.794704110667,952318
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-28,981725.897056496,103.088033309934,952318.0
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-27,940468,98.5636776559387,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-26,935809,98.0754014209163,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-25,935908,98.0857768979001,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-24,943108,98.8403570421716,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-23,941342,98.6552753012294,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-22,945757,99.1179796535848,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-21,947084,99.257052966286,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-20,946594.0,99.2056995953564,954173.0
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-19,946312,99.1761452063724,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-18,960918,100.706894871265,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-17,957930,100.393744111393,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-16,956886.0,100.284329990473,954173.0
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-15,1020261.0,106.92620730203,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-14,1021171.0,107.021577848042,954173
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-13,939614,99.7942756154473,941551
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-12,931678.0,98.9514110228761,941551.0
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-11,930892,98.8679317424123,941551
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-10,930582,98.835007344265,941551
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-09,932181,99.0048335140635,941551
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-08,944499,100.313100405607,941551
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-07,944691,100.333492290911,941551
India,"Calendar Year (Jan - Dec), 2025","June, 2025",2025-06-06,945067.0,100.373426399632,941551.0
